feature,coefficient,abs_coef
price_volatility_0to30s,6.412358002393218,6.412358002393218
momentum_0to30s,-3.0957059944439136,3.0957059944439136
transaction_count_0to5s,2.4484631393221434,2.4484631393221434
volume_0to30s,-1.7833922733265901,1.7833922733265901
volume_volatility_0to5s,-1.6783817242971584,1.6783817242971584
initial_market_cap,1.6598594158545878,1.6598594158545878
volume_volatility_0to30s,1.610810579010163,1.610810579010163
volume_volatility_20to30s,-0.991484046965173,0.991484046965173
volume_0to5s,-0.909124157867955,0.909124157867955
momentum_0to5s,0.7579983938446044,0.7579983938446044
transaction_rate_0to30s,0.5241836756954346,0.5241836756954346
price_volatility_0to5s,-0.23754537127917513,0.23754537127917513
volume_20to30s,-0.2093365076058544,0.2093365076058544
transaction_rate_0to5s,0.1801997418387434,0.1801997418387434
momentum_20to30s,-0.17984919682385525,0.17984919682385525
transaction_count_0to30s,0.06990277340253236,0.06990277340253236
initial_investment_ratio,0.0,0.0
transaction_rate_20to30s,-0.0,0.0
price_volatility_20to30s,-0.0,0.0
transaction_count_20to30s,-0.0,0.0
